case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.75_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,508.38904668975573,508.38904668975573,0.0,5424.350364904196,nan,nan,nan,14.997476733981612,15.021613075313299,9.246218474843989,62.662274992000675,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,49.373263508916274,49.373263508916274,0.0,702.9234104043845,nan,nan,nan,15.000000000000005,16.98909865079069,10.991994127574502,64.31923681899934,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,275.6692527364892,275.6692527364892,0.0,2802.2536930448564,nan,nan,nan,22.19775657091298,15.0,7.500000000764411,20.9738250219998,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_OUTDOOR_SHEAR,outdoor,shear,ShearField,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,259.7298736143501,259.7298736143501,0.0,2553.058329375002,nan,nan,nan,22.20105638565775,15.0,7.492848239667078,20.820237706000626,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_OUTDOOR_GUST,outdoor,gust,GustField,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,305.9039882049366,296.34238602176384,0.0,2873.614808927225,nan,nan,nan,22.01239334256686,15.0,7.50000000092111,21.465535707999152,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_OUTDOOR_VORTEX,outdoor,vortex,VortexField,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,895.746395115165,895.746395115165,0.0,5571.375913930338,nan,nan,nan,15.000000000002906,15.000000000002336,7.500000110981568,21.02712991199951,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,308.7846022084921,308.7846022084921,0.0,5571.375914080934,nan,nan,nan,14.999999999999996,14.999999999999996,7.500000111117276,62.48104410999986,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,211.82613058140316,211.82613058140316,0.0,5565.845260532418,nan,nan,nan,14.999457934196004,14.99801449872746,8.22518654126253,62.82837080399986,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,118.82187789267321,118.82187789267321,0.0,5466.507889276638,nan,nan,nan,14.997490037577784,14.995442129562319,9.250538282697882,62.57643619400005,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,7.6349969437880505,7.6349969437880505,0.0,702.9233830390901,nan,nan,nan,15.000000000000009,16.989098146018247,10.991994012896866,64.05402109200077,12000,,nan,nan,,OK,
